epoch,total_loss,recon_loss,kl_loss,beta
1,56.02224755883814,56.020376211172106,0.5614341364966499,0.003333333333333333
2,41.431714123791764,41.36463931277469,10.061177861821783,0.006666666666666666
3,32.758153921133044,32.5404833544482,21.76705396497572,0.01
4,28.85842408265199,28.559052384293473,29.93719048638482,0.01
5,26.97882329045354,26.627559688594843,35.12634869977399,0.01
6,26.037438271401285,25.660384490325285,37.7053661327343,0.01
7,24.680939637146913,24.28583370052181,39.510596931159675,0.01
8,23.45181007117958,23.04390645528341,40.790366019095266,0.01
9,21.976799186882193,21.555458626350962,42.13405327324395,0.01
10,20.573818538997983,20.138573479485345,43.52449324324324,0.01
