true_label_encoded,true_label_name,vae_kmeans_cluster,raw_gmm_cluster,pca_kmeans_cluster
0,blues,3,5,7
0,blues,3,5,7
0,blues,3,5,7
0,blues,3,5,7
0,blues,3,5,7
0,blues,7,0,7
0,blues,3,0,7
0,blues,3,5,7
0,blues,3,5,7
0,blues,3,5,7
0,blues,2,2,6
0,blues,2,2,0
0,blues,5,7,9
0,blues,2,2,0
0,blues,2,8,0
0,blues,2,8,9
0,blues,2,8,0
0,blues,3,8,0
0,blues,3,8,7
0,blues,2,2,9
0,blues,9,2,9
0,blues,3,5,7
0,blues,3,5,7
0,blues,3,5,7
0,blues,3,5,7
0,blues,9,2,9
0,blues,9,5,7
0,blues,7,5,3
0,blues,7,5,3
0,blues,7,2,3
0,blues,6,2,1
0,blues,6,2,1
0,blues,6,2,1
0,blues,8,2,6
0,blues,2,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,6,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,5,9
0,blues,9,2,0
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,7,9
0,blues,9,2,9
0,blues,9,2,1
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,1
0,blues,4,2,0
0,blues,9,2,0
0,blues,2,2,0
0,blues,6,2,1
0,blues,9,2,1
0,blues,9,2,0
0,blues,9,2,1
0,blues,9,2,1
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,1
0,blues,6,2,1
0,blues,2,6,0
0,blues,9,2,9
0,blues,9,2,0
0,blues,9,2,9
0,blues,9,2,0
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,1
0,blues,9,2,0
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,1
0,blues,9,2,9
0,blues,9,2,0
0,blues,9,2,9
0,blues,3,5,7
0,blues,3,5,7
0,blues,3,5,7
0,blues,3,5,7
0,blues,3,5,7
0,blues,3,5,7
0,blues,3,5,7
0,blues,3,5,7
0,blues,3,5,7
0,blues,3,5,7
0,blues,9,2,9
0,blues,9,2,9
0,blues,5,7,8
0,blues,9,2,1
0,blues,5,2,9
0,blues,3,7,7
0,blues,9,2,0
0,blues,6,3,1
0,blues,5,2,9
0,blues,5,2,0
0,blues,6,2,1
0,blues,5,7,9
0,blues,2,2,6
0,blues,6,2,1
0,blues,9,2,1
0,blues,6,5,1
0,blues,2,6,0
0,blues,9,2,9
0,blues,9,2,9
0,blues,6,2,1
0,blues,2,2,6
0,blues,9,2,9
0,blues,9,2,9
0,blues,2,2,0
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,6
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,6,2,1
0,blues,9,2,9
0,blues,5,2,9
0,blues,9,2,9
0,blues,9,2,1
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,6,2,1
0,blues,9,2,9
0,blues,3,5,7
0,blues,3,5,7
0,blues,9,2,9
0,blues,9,2,9
0,blues,6,2,1
0,blues,9,2,9
0,blues,5,7,8
0,blues,6,2,1
0,blues,5,7,8
0,blues,6,2,1
0,blues,6,3,1
0,blues,6,7,1
0,blues,2,7,0
0,blues,2,7,0
0,blues,5,7,8
0,blues,2,7,0
0,blues,2,7,0
0,blues,2,2,0
0,blues,5,7,9
0,blues,2,2,0
0,blues,6,5,1
0,blues,2,2,0
0,blues,9,2,9
0,blues,5,7,9
0,blues,9,2,9
0,blues,5,2,9
0,blues,5,7,8
0,blues,6,2,1
0,blues,9,7,9
0,blues,3,2,7
0,blues,2,2,0
0,blues,9,2,9
0,blues,5,7,8
0,blues,2,2,9
0,blues,6,5,7
0,blues,2,2,9
0,blues,6,2,7
0,blues,5,2,0
0,blues,5,2,8
0,blues,9,2,9
0,blues,6,2,9
0,blues,9,2,9
0,blues,6,2,1
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,6,2,1
0,blues,2,2,9
0,blues,6,2,1
0,blues,6,5,7
0,blues,5,7,8
0,blues,2,2,9
0,blues,6,5,7
0,blues,3,5,7
0,blues,5,7,8
0,blues,5,7,8
0,blues,6,3,1
0,blues,5,7,8
0,blues,2,7,8
0,blues,9,2,9
0,blues,6,2,1
0,blues,5,2,9
0,blues,5,7,8
0,blues,6,2,1
0,blues,6,2,1
0,blues,5,7,8
0,blues,5,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,5,2,8
0,blues,6,5,1
0,blues,6,5,1
0,blues,9,2,9
0,blues,6,5,1
0,blues,6,5,1
0,blues,9,2,9
0,blues,9,2,9
0,blues,3,5,7
0,blues,5,7,8
0,blues,2,2,9
0,blues,5,7,8
0,blues,5,7,8
0,blues,6,2,1
0,blues,5,7,8
0,blues,2,2,0
0,blues,6,2,1
0,blues,5,7,8
0,blues,2,2,9
0,blues,6,2,1
0,blues,6,2,9
0,blues,5,7,0
0,blues,2,2,9
0,blues,2,2,9
0,blues,6,2,1
0,blues,5,7,8
0,blues,5,7,8
0,blues,2,2,9
0,blues,2,7,0
0,blues,5,7,8
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,5,2,8
0,blues,6,3,1
0,blues,2,2,9
0,blues,5,2,9
0,blues,6,3,1
0,blues,9,2,9
0,blues,6,2,1
0,blues,9,2,9
0,blues,9,2,9
0,blues,6,2,1
0,blues,6,2,1
0,blues,9,2,9
0,blues,9,2,9
0,blues,6,2,9
0,blues,6,2,1
0,blues,9,2,9
0,blues,9,2,9
0,blues,6,2,1
0,blues,5,7,8
0,blues,6,2,9
0,blues,6,2,1
0,blues,5,7,8
0,blues,2,2,0
0,blues,6,2,1
0,blues,5,2,9
0,blues,5,2,8
0,blues,6,2,1
0,blues,6,2,1
0,blues,5,7,8
0,blues,2,7,9
0,blues,2,2,9
0,blues,6,7,1
0,blues,5,7,8
0,blues,2,2,9
0,blues,6,2,1
0,blues,6,2,1
0,blues,5,6,8
0,blues,9,2,9
0,blues,6,3,1
0,blues,5,7,8
0,blues,5,7,8
0,blues,9,2,9
0,blues,9,2,9
0,blues,6,2,1
0,blues,5,7,8
0,blues,5,7,8
0,blues,5,7,8
0,blues,9,2,9
0,blues,6,2,1
0,blues,6,2,1
0,blues,9,2,9
0,blues,9,2,9
0,blues,6,2,1
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,6,2,1
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,5,2,0
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,7,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,5,7,8
0,blues,5,7,8
0,blues,5,7,8
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,2,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,7,8
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,5,7,8
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,1
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,1
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,5,7,8
0,blues,5,7,8
0,blues,2,7,0
0,blues,9,2,9
0,blues,5,7,8
0,blues,5,7,8
0,blues,5,7,8
0,blues,9,7,9
0,blues,5,7,8
0,blues,5,7,8
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,2,9
0,blues,9,7,1
0,blues,9,2,9
