tsne_1,tsne_2,true_label_name,pca_cluster
-36.338394,-8.082388,blues,7
-40.698124,-9.29342,blues,7
-38.27542,-6.805178,blues,7
-37.83209,-8.192003,blues,7
-37.647064,-7.7506924,blues,7
-40.16154,-7.2718267,blues,7
-39.85811,-7.5378194,blues,7
-37.045803,-7.6131577,blues,7
-38.077877,-9.286311,blues,7
-44.64514,-13.344583,blues,7
-4.5615363,7.9141774,blues,6
-10.354531,10.692467,blues,0
-8.063272,-16.180042,blues,9
-2.431896,12.003718,blues,0
-6.8684206,19.845718,blues,0
-8.593117,3.4100475,blues,9
-8.397857,3.626338,blues,0
-15.296887,15.219855,blues,0
-28.7877,17.681503,blues,7
-7.625887,2.7383695,blues,9
-21.240349,-4.381452,blues,9
-35.45091,-9.218869,blues,7
-35.225048,-8.683053,blues,7
-35.553204,-9.133926,blues,7
-28.240974,-9.783465,blues,7
-20.22261,-4.296784,blues,9
-28.031042,-9.823131,blues,7
-66.54324,-6.3609443,blues,3
-66.65823,-6.6617436,blues,3
-67.297295,-6.1485753,blues,3
7.0930176,-15.023651,blues,1
7.0229397,-14.644415,blues,1
6.9357777,-14.81907,blues,1
5.9674516,-13.028088,blues,6
-6.4336486,-2.7875402,blues,9
-7.4633517,-2.8716047,blues,9
-7.3737187,-4.098708,blues,9
4.4738293,-13.805379,blues,9
-6.534506,-2.9100552,blues,9
-7.742814,-4.6442432,blues,9
-28.403475,-58.013355,blues,9
5.80424,21.818956,blues,0
7.844695,19.939198,blues,9
5.9235663,18.542364,blues,9
-28.717766,-57.552032,blues,9
-22.93409,-11.307924,blues,9
20.945686,-68.52293,blues,1
-22.862562,-11.219242,blues,9
-23.383192,-11.839131,blues,9
-23.19514,-11.586763,blues,9
5.0224915,-25.73536,blues,9
21.322023,-68.37365,blues,1
-0.00710244,34.412205,blues,0
5.925618,21.595133,blues,0
-1.520045,25.932001,blues,0
21.062883,-68.3131,blues,1
21.244894,-68.40673,blues,1
5.7792077,21.94092,blues,0
-22.414242,-22.288836,blues,1
21.037468,-68.50119,blues,1
2.9859128,34.47998,blues,9
7.287827,-23.01111,blues,9
8.752401,-31.71194,blues,1
8.469866,-31.207932,blues,1
2.5649583,34.75783,blues,0
8.172516,-24.521177,blues,9
2.6085804,34.27484,blues,0
8.28154,-24.195091,blues,9
3.028762,34.6357,blues,0
2.9450936,16.38254,blues,9
