z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,true_label_encoded,true_label_name
-1.325284,-0.6592253,-0.3084662,1.5599799,0.049037594,0.030170716,1.1853671,-1.0863047,1.050396,0.7780667,0,blues
-0.5325432,0.26529354,-0.54517376,0.3619893,-0.07917848,0.49904633,0.37751624,-2.0829334,2.273828,0.035990585,0,blues
-1.1363119,0.25048995,-0.31797284,0.105243266,0.06612502,1.1496842,1.0476477,-1.6309242,0.5904949,0.5946448,0,blues
-1.5235045,-0.614903,-0.36855748,1.0481981,0.22289093,0.5175029,1.0146989,-1.5079694,1.4141282,0.40189645,0,blues
-1.8359315,-0.34685695,0.25057662,0.829925,0.10728754,1.1242759,0.87257886,-1.9694134,1.1634179,0.48108903,0,blues
-1.9236528,-0.83749384,0.28981665,0.12235458,0.64026254,1.3698004,0.8888758,-0.79544985,0.8461413,-0.48355547,0,blues
-1.7843913,-0.5028837,-0.936858,0.2883314,0.7041751,0.9373318,0.87233204,-1.1796418,1.1439381,-0.12787694,0,blues
-1.7845421,-0.0923055,0.33238658,1.3177873,0.30597126,0.6545085,1.3527806,-1.8491365,0.8380915,0.6077578,0,blues
-0.25125894,-0.08869481,-0.23997028,1.0279715,0.004932154,0.063766986,1.0592456,-1.6777192,1.808301,0.31774342,0,blues
-1.0396949,-0.04838963,-0.08888993,1.0222054,-0.22082746,0.9552278,0.2478722,-2.51809,2.1347528,0.051498856,0,blues
-0.9792192,-0.7821267,-1.9375508,1.1502236,-2.3112404,0.9584269,2.0256383,1.5805776,-1.792014,4.3800054,0,blues
-0.7187025,0.3768112,-2.5557826,1.9072258,-1.683962,-1.0653803,1.401778,-0.7954506,0.36420017,3.4920204,0,blues
1.844033,0.7245887,-0.026479676,1.4056883,-2.1161773,0.6068097,0.80686074,-0.94052064,0.6458408,1.8963195,0,blues
0.5529951,-1.5798221,-2.9570904,1.5476536,-2.464956,-0.5160407,1.1854517,2.0204875,-0.04157464,3.2586012,0,blues
-0.29560968,0.84281856,-2.4428425,0.80438846,-1.3738415,-1.4892846,0.590844,0.72883713,0.35569838,3.2993662,0,blues
-0.32729825,-0.46645433,-1.6777064,1.1128651,-1.8957524,-0.5693848,0.56588477,-0.1054606,0.5503786,3.110212,0,blues
-0.68888175,-0.98598504,-2.0606353,0.8396936,-1.3917906,-0.35744995,1.1772212,0.27486795,0.5341803,2.8774319,0,blues
0.32607,-0.72089005,-2.6991582,0.7537054,-0.88799304,-0.88648653,0.9732592,0.1381943,1.3352618,1.4215719,0,blues
-0.61510247,-0.21244587,-1.7362686,0.68637127,-0.9837062,-0.36657587,0.4760183,-1.0307454,1.2862816,1.8495697,0,blues
0.31274882,-0.44743896,-1.5091858,2.0642948,-2.18816,-0.12039668,1.4291378,-0.19388416,0.2344842,2.98583,0,blues
-0.3394837,-1.0500655,0.17862901,2.8292418,0.45916918,-2.1622837,2.2140055,1.04529,1.2455281,0.6549377,0,blues
-1.1090753,-0.37393945,1.0308641,1.5617273,-0.068020254,0.1753103,1.068175,-1.5915366,1.3779851,0.61142236,0,blues
-1.7697346,-0.92011917,0.65093035,1.5087984,0.7091473,-0.09603418,1.5985463,-0.9142624,1.474238,0.2877444,0,blues
-1.4707243,-0.3222152,0.565156,1.3058724,0.36801282,0.46554583,1.1209767,-1.829122,1.410138,0.3184333,0,blues
-1.4957539,-1.3513685,0.9981027,2.4668133,0.52749693,-0.5672722,1.6453341,-0.79235274,1.7419784,0.26461834,0,blues
-0.31815273,-0.07067761,-0.59422666,3.1237047,-0.22356778,-2.3081286,1.6282934,-0.17975266,1.4031727,1.8069183,0,blues
-1.0913117,-1.5208212,0.8860039,3.3649616,0.045779344,-0.8218864,1.8453442,-0.75278705,1.7695901,0.72658664,0,blues
-2.1029384,-1.2778611,0.67246556,0.8400317,1.1941891,0.9645276,1.8496339,-1.454005,2.1205056,-0.6784801,0,blues
-1.6683352,-1.2547574,0.42228332,0.48271313,1.4551803,0.8409441,1.7554336,-1.3624594,2.340512,-1.0770274,0,blues
-3.087721,-1.5427333,0.29533508,0.16478574,1.5530676,1.6493081,2.0731108,-0.906238,1.2266442,-0.5574343,0,blues
-0.8266848,-0.5413158,1.8744615,1.2889338,-1.9241486,3.3452287,2.825964,-0.98287976,-1.512141,2.2213833,0,blues
-0.37373126,-0.30881983,0.7605237,1.5349656,-2.083312,2.6106539,2.767111,-0.7063285,-1.5170845,2.7041097,0,blues
-0.5256971,-0.48261058,1.4068915,1.6487776,-1.8153701,2.513597,2.591452,-0.6590935,-1.3677698,2.3852305,0,blues
-1.0107133,-1.0673378,0.13391197,1.4247413,-1.4100194,1.2066715,2.5223854,0.36951077,-0.9719384,2.6592565,0,blues
0.19643018,0.17651992,-0.2847566,2.243636,-1.7041165,-0.35157925,1.8701519,0.3189821,-0.9674269,3.117884,0,blues
0.07874798,-0.72474796,-0.21088739,2.090965,-1.6532224,-0.5522376,1.7370926,0.26485246,-0.36697504,2.6791704,0,blues
0.030961126,0.87117654,0.6634835,1.999829,-1.8204013,0.3740116,1.3343217,-1.1672258,-0.6331226,2.9430113,0,blues
-0.5605493,-0.32118052,0.750344,1.9129322,-1.4812679,1.181967,2.2399242,-0.96242696,-0.78553444,2.4289305,0,blues
-0.74287355,-0.113040015,0.32550174,2.322985,-1.1496235,-0.60339594,1.6536074,0.29443806,-0.7433547,2.838293,0,blues
-0.34072936,0.5111377,0.16434525,3.0891767,-1.5393032,-0.97389334,1.6222957,-0.7467564,-0.35897344,3.237725,0,blues
1.1611325,-1.643941,1.7146196,4.117698,-1.2769477,-1.6305593,-0.86751765,-1.6816328,4.142891,0.29550222,0,blues
3.4383574,0.05773001,-1.0676986,2.3274567,-0.5281406,-4.639259,0.047385104,3.7251737,2.9066837,0.37492526,0,blues
0.8367911,-1.3405794,-0.04459801,3.2010257,-0.2667311,-3.045143,0.63383996,1.3633864,2.7680755,0.5019039,0,blues
2.2708604,0.49495548,0.85114205,4.1572614,-0.7494246,-4.1760445,-0.13700852,0.042595178,3.270037,0.8937886,0,blues
2.4101627,-0.094687834,1.2190971,4.136375,-1.0611993,-2.6149764,-0.68404347,-1.5497075,3.825099,0.457798,0,blues
0.16773057,-1.1084152,0.20372525,3.5720742,-0.33655253,-2.7160976,0.15785614,-0.0014660656,3.2051303,0.73459446,0,blues
-0.68550104,-2.6653306,2.7831461,4.263411,-0.9184871,0.025709495,0.7529338,-0.22236833,2.2810032,0.57366705,0,blues
0.461913,-0.66824955,0.9103474,3.7719154,-0.1847943,-2.6647787,0.76265645,0.02039659,2.6837676,0.80053073,0,blues
1.1098559,-1.3553181,1.9199147,4.0612226,-1.0094544,-1.8109064,0.18084246,-0.5755265,2.9966495,0.7101287,0,blues
0.42701954,-0.7004904,1.4336764,4.0579987,-0.7196134,-2.4314702,-0.13743514,-0.7272494,2.9774487,0.8454447,0,blues
-0.0576073,-3.024221,1.2809838,4.374463,-2.2567856,0.4247796,1.7813466,1.014769,0.8178993,2.5840404,0,blues
-0.3497336,-2.9520574,2.4643402,4.1025767,-1.4585971,0.7441144,1.1150739,0.3209855,1.5601406,1.2205504,0,blues
3.9512372,1.6105771,-3.5257943,1.413089,0.7460368,-6.694165,1.1135683,5.7222047,2.998088,0.4219573,0,blues
2.4977987,-2.8272588,-2.0797915,1.6772949,-0.22851166,-2.932826,1.2144544,5.1458454,2.6675274,-0.6841525,0,blues
3.1351836,-1.1932193,-3.5528042,1.8479413,-1.2566131,-3.9216707,0.63255084,4.784816,2.113352,1.3134433,0,blues
-0.6374099,-3.0724308,3.2719777,4.199008,-1.4598906,0.90212685,1.2271161,-0.13316107,1.7360673,0.9282286,0,blues
-0.8670634,-2.4510612,2.81596,4.0960426,-0.6935707,-0.2725892,0.99612486,0.5114905,1.6795251,0.74889207,0,blues
2.3520222,-0.21490161,-1.7233425,1.7991247,0.9459019,-4.327722,1.8361794,3.9740682,2.340889,-0.37109032,0,blues
-0.9999492,-3.0599058,1.1316011,3.12915,-0.5155923,0.30159864,0.60156846,0.09140164,2.202979,0.33247617,0,blues
-0.7462586,-2.5725238,2.6185884,3.9548264,-0.8918609,-0.028788619,0.46360832,-0.21116292,2.210735,0.594835,0,blues
4.83078,0.464805,0.4429054,4.478973,-0.6496051,-5.408912,4.1968064,4.97762,0.8124203,1.7345996,0,blues
1.7425436,-2.1650496,2.3846514,5.6705337,-2.9576385,-1.219617,2.079865,1.6965067,0.4031495,2.906594,0,blues
0.69949836,-3.3296995,2.905193,5.172894,-2.9779003,1.7421451,2.7499156,1.3814807,-0.011369026,2.5916975,0,blues
0.39266583,-2.4266818,3.8675165,5.3837194,-2.2134123,1.1083171,2.3227031,0.35827398,0.491306,1.8335723,0,blues
4.486123,1.7671117,-1.10567,3.4539669,-1.2696086,-4.286468,3.4105752,4.595109,-0.494143,2.788801,0,blues
1.1497307,-1.690477,3.3666558,4.9752755,-1.0509777,-0.6737037,2.8496459,1.5386149,0.8447021,1.2244278,0,blues
3.5878394,-0.22007509,-1.372268,4.3965,-0.98008734,-5.4130006,3.5820103,5.828617,0.7545499,2.400927,0,blues
0.13911262,-2.638388,2.7386208,5.5602126,-0.51485175,-0.8194,4.2959514,2.58166,0.1734456,1.5284103,0,blues
3.3644872,1.2636242,0.036607545,4.6098113,0.4756386,-4.828785,4.3644648,3.7133017,0.19148885,1.4917308,0,blues
2.905161,0.89068604,0.45078126,5.0843124,-1.2201302,-3.6367593,2.506708,1.192262,0.9398196,2.266737,0,blues
0.8814204,0.13636914,0.70656323,5.97544,-2.1803298,-3.5614557,1.7964014,0.3471793,1.0641202,3.554749,0,blues
1.3658082,-1.1096427,2.0740063,5.218472,-2.0936027,-2.2847674,2.0991163,1.1724908,0.7006503,2.605151,0,blues
0.1536963,-3.3301682,4.003208,5.7429295,-1.7467389,0.041955758,2.5598238,0.60252553,1.114698,1.5307528,0,blues
3.0137649,1.338878,-1.6538566,4.800487,-1.5661076,-5.3412447,2.0430763,3.531106,0.9221011,3.0561697,0,blues
2.5289319,0.7550991,0.2131586,5.2951713,-0.6407253,-5.130737,3.9942105,2.6063764,0.8714399,2.7378833,0,blues
0.8662234,-0.9638461,2.3398352,5.6466327,-1.6009421,-2.2916486,2.4594128,0.72504014,0.7954831,2.3145761,0,blues
-0.30041426,-3.5383773,4.8003755,5.725735,-1.250041,-0.16744152,2.6736257,0.47210443,1.5850718,1.0413005,0,blues
2.6024833,-1.6376731,-0.10555848,5.0935783,-1.3686694,-3.6798017,3.161949,3.8679805,0.41348922,1.9455436,0,blues
2.686776,0.96323997,-2.2409675,3.821839,-0.26262376,-5.2749753,2.4458218,3.0316703,1.9840945,2.0737002,0,blues
-0.03038853,-2.1842806,1.924693,5.497614,-1.1910659,-2.7742453,2.1298048,1.4007106,1.4426751,2.0174193,0,blues
-1.511459,-1.401321,-1.0709658,0.5565637,0.36863893,1.0288966,1.4915763,-1.1149992,1.1593877,0.16992144,0,blues
-1.771999,-1.0359874,-1.0520872,0.56446713,0.4473252,0.79918265,0.8708736,-0.932533,1.0138485,0.26129663,0,blues
-1.8426688,-1.1160957,-0.66171354,0.8190681,0.14407878,1.0652273,1.3419813,-1.4906045,1.0795268,0.55364794,0,blues
-1.269414,-0.36566073,-0.6257582,1.1322073,-0.0767601,0.3821745,1.2068168,-1.8620244,1.0509691,0.8905337,0,blues
-1.3549376,-0.98648834,-0.9765147,0.8225161,0.17717904,0.3589344,1.2345586,-1.2927822,1.2993982,0.6100902,0,blues
-1.6006268,-0.86193025,-0.9104354,0.9619267,0.16296268,0.75536853,1.4002982,-1.6686041,1.0072229,0.66486144,0,blues
-1.8307651,-1.231401,-0.75404495,0.86932415,0.17305078,0.9780268,1.3224331,-1.5687879,1.1825743,0.52787113,0,blues
-2.1650681,-1.274213,-0.9058785,0.9090618,0.3120928,0.5868751,1.1544698,-1.1239269,1.1697427,0.6129158,0,blues
-2.3324623,-1.2400423,-1.1216673,0.36170897,0.17811851,1.2555851,1.323247,-1.0452368,0.5793347,0.8413712,0,blues
-2.0006213,-1.0639803,-0.96213305,0.5768729,0.055492315,1.153776,1.0259099,-1.4812802,0.96525395,0.75241745,0,blues
3.2448552,0.32921666,0.1681226,2.3427248,-1.3104358,-2.600222,0.8995049,1.5121993,1.537777,1.3477147,0,blues
0.41826037,-0.613877,-0.42462438,2.4358003,-1.2083052,-0.9383299,1.630736,0.90476274,-0.20338438,2.1483574,0,blues
3.9431567,1.3081682,0.17638567,1.5738598,-1.4073113,-1.7063339,0.20443624,-0.089109346,2.3714197,0.7320066,0,blues
0.21089396,-1.5786747,2.1759124,3.1394298,-0.86069024,0.49479792,1.1701941,-0.46053633,1.7013935,0.60011,0,blues
3.4086652,2.2470734,0.04411202,2.803365,-1.6156607,-2.132433,0.6105573,-0.3930709,0.71338093,1.6179135,0,blues
-1.2584078,-1.2396592,-0.9155441,0.8747936,-1.0638392,1.5068301,0.05940374,-1.0225463,0.75349736,0.9054368,0,blues
2.071148,1.1209906,-0.85885483,2.2637887,-1.4844073,-2.865156,0.086161904,1.0347383,1.2273527,2.090189,0,blues
-1.463465,-0.8803257,0.8113328,1.8223077,-1.9505568,2.3020399,-0.38562268,-2.5581727,1.094268,1.1647704,0,blues
2.077952,0.5752889,0.6981986,2.3685796,-2.341455,0.27703515,0.21263388,-0.7925791,0.46346557,1.8563282,0,blues
3.7269225,1.9597359,-1.0501703,1.5818932,-1.7088279,-1.3723135,0.35237452,-0.34188044,1.2919849,1.4234415,0,blues
-0.61578345,0.009553686,3.0545018,2.6044948,-0.28469977,0.63482386,2.1762216,-0.4495611,-0.2727751,1.0378662,0,blues
2.80178,1.5160959,1.4063814,1.3450515,-1.469111,-0.6501557,0.7018266,0.012968808,0.8753438,1.5228918,0,blues
-0.04726355,-0.8155909,0.5504863,2.2318637,-2.0653954,1.4802091,2.0191143,1.5004807,-1.6592276,3.2498782,0,blues
-0.8923311,-1.7067592,-0.09226324,2.010171,-2.473908,2.5485141,1.7627244,0.59046,-0.9677196,3.2480218,0,blues
-0.7736187,-0.8001945,1.7720742,3.1080012,-0.86258495,0.6382742,2.202617,-0.37361097,0.08131924,1.9369208,0,blues
-1.422911,-1.9816223,4.290925,3.337179,0.053418554,1.6039299,2.1477575,-1.5271405,1.7482985,-0.6779968,0,blues
3.4655259,2.632201,-1.377544,2.9990861,0.20678574,-4.793461,3.7571373,2.4274137,-0.41454855,2.2379904,0,blues
1.5532492,1.7311184,0.53268266,3.9280467,-2.3845587,-1.9407756,-0.010921866,0.11981171,-0.58634883,2.9738278,0,blues
-0.01070993,0.599928,1.0335448,3.0773406,-0.78459156,-1.2956111,1.622777,0.5004628,-0.31178793,2.2837484,0,blues
-1.0607249,-0.72147465,2.1824243,2.8470442,-0.90391624,1.1761034,1.6502936,-0.50959945,-0.047937434,1.6146919,0,blues
0.32292962,-2.1038346,0.11177266,2.0808775,-2.7889886,1.185226,1.2260914,2.2329128,-1.3920494,2.9877713,0,blues
1.6882114,0.97406447,0.48621315,4.085375,-3.0198414,-1.8799008,1.3406578,1.416135,-0.93522793,3.995611,0,blues
0.5329037,-2.3222704,0.60096884,2.7105324,-2.6887503,0.6055117,1.3449302,2.737362,-1.0956461,2.5490458,0,blues
2.8581924,0.8703718,-1.632885,3.3506339,-2.7810192,-2.1252472,1.8138689,3.4644103,-1.3251078,3.4243908,0,blues
0.5205478,-1.3958973,-0.08373716,3.2510705,-2.6821609,-0.3312101,1.4374235,2.0359068,-0.9875216,3.4064474,0,blues
1.1956626,0.25322005,0.47303182,4.481634,-2.440466,-2.2412655,1.7971123,2.173884,-1.0432094,3.544476,0,blues
0.19214669,-2.7702723,1.0300117,2.474232,-2.6339366,1.3154103,1.5713503,2.3862255,-0.89698553,2.4366546,0,blues
2.068744,0.0747422,-0.33739635,3.5132277,-2.8759265,-1.3961148,1.8511534,1.3038125,-0.6574226,3.564317,0,blues
1.2639303,0.31413633,0.5199805,3.8799157,-2.460343,-1.7751645,1.5162095,1.2079743,-0.6981871,3.4920096,0,blues
1.3310169,0.136816,0.13538322,3.63797,-2.9137638,-1.3707746,1.0857983,1.3244992,-0.86275226,3.5938861,0,blues
1.796376,2.326895,-0.45997426,2.9722314,-1.7858225,-2.54908,0.32135826,-0.39122516,0.6338319,3.0324287,0,blues
0.24311683,-1.877339,1.3785723,3.2021616,-2.0607183,1.3374647,1.8487943,-0.4097658,0.4073795,1.7131826,0,blues
0.9800213,0.20844892,-0.4705087,4.651827,-1.4470903,-2.497172,2.1053505,0.8663435,0.13800924,2.3628426,0,blues
2.4072094,0.4549302,-1.2576171,1.8489296,-1.9984205,-0.3653507,0.5265163,-0.17190586,1.4426684,1.5617387,0,blues
1.1602204,0.7822528,1.2865671,3.7256846,-0.93755484,-1.7319402,1.5965006,-0.2202628,0.17816626,1.8089453,0,blues
-0.29338294,-2.5613723,2.3020887,4.2701283,-1.4801444,0.79717135,2.6313853,-0.2385006,0.6219389,1.3371753,0,blues
2.7561846,2.0692744,-0.63443184,3.7166865,-1.6930659,-2.1002467,1.6740196,-1.0168958,0.83470434,2.0926256,0,blues
