z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,genre,track_name,track_artist
2.4564114,1.1146218,1.8528727,-0.62250125,1.1806265,2.4953732,0.65160114,-1.1719707,-2.1487799,-1.521254,-0.41034678,1.2023823,0.82976437,0.9563368,-1.6095617,0.8072743,rock,Pangarap,Barbie's Cradle
1.5947242,-1.4519559,1.2476329,-3.4756403,0.99587476,-0.9934,0.12301619,-3.8602428,0.5819396,-1.1114675,-1.2633907,-0.4879964,-3.1182096,1.1647098,0.24652894,-0.89701843,rock,I Feel Alive,Steady Rollin
-0.06088189,-1.0662885,0.16199112,-0.24488683,1.8423996,1.5961108,-0.915911,0.7152395,-0.86328936,-1.6489116,0.58726174,-1.003847,-0.8542726,-2.288472,-1.9002172,-0.61831933,r&b,Poison,Bell Biv DeVoe
1.859726,1.6021144,2.1004221,0.480477,0.82572275,0.4690772,-2.0932333,-1.4951916,-1.0187461,0.3922549,-0.84094065,0.96366173,-1.0051193,-0.14769699,-1.8798189,-1.3507824,r&b,Baby It's Cold Outside (feat. Christina Aguilera),CeeLo Green
0.5896962,-0.70795417,-1.3402393,-2.4481776,0.110820934,-0.5536697,-0.20026882,-1.3801099,-0.34334368,-1.6431919,-0.3673858,-0.67367405,-0.49464166,-0.45536023,0.33402893,0.83222145,pop,Dumb Litty,KARD
1.5318996,0.5817846,0.75682914,-0.49268213,0.18047594,-1.1394665,-0.6673377,-2.233685,-0.6561748,-0.22173837,-0.47111666,-0.16967736,-1.1743557,0.061502896,-0.5355988,-1.1107389,r&b,Soldier,James TW
0.42357618,-0.07360667,1.1038903,1.2547884,1.0425048,2.6343136,-1.2200433,0.24416679,-2.7680147,-0.11455551,-0.36362535,0.56080735,0.5749512,-0.18015091,-1.7828505,0.20140085,r&b,Satisfy You,Diddy
0.78545433,-0.3342038,-0.2057526,-1.0446802,0.6522661,0.81527245,0.7975141,-0.6593141,-1.7166994,-1.67738,-0.111103974,0.18866777,0.44052583,0.3729761,-0.10414611,1.9613633,r&b,Tender Lover,Babyface
1.4301683,-0.1783337,0.5013075,-1.6859593,0.7808703,-1.1133518,0.40422896,-2.6555643,-0.5602369,-1.7171142,-0.49219343,-0.67436886,-1.7253089,-0.5515694,-0.6541714,-1.3691968,edm,Hide Away (feat. Envy Monroe),Blasterjaxx
1.1916012,0.30903795,-0.7123788,-2.2040865,0.031228162,0.35638705,-0.12297389,-1.2520261,-1.7262822,-1.9199506,-0.7588727,-0.05630617,0.42999053,-0.34748384,-0.383308,0.54537237,r&b,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt
0.68419796,-0.65683746,-0.60872483,-2.5692332,0.0146950185,1.3919626,0.17872891,-0.39327756,-0.42460537,-1.9086233,0.44608992,-0.009783935,0.88059354,-0.8184559,0.54835707,1.6566403,latin,Una Vaina Loca,Fuego
