track_id,track_name,track_artist,playlist_genre,playlist_subgenre,language,encoded_genre,genre,kmeans_cluster
0017A6SJgTbfQVU2EtsPNo,Pangarap,Barbie's Cradle,rock,classic rock,tl,5,rock,5
004s3t0ONYlzxII9PLgU6z,I Feel Alive,Steady Rollin,rock,hard rock,en,5,rock,3
00chLpzhgVjxs1zKC9UScL,Poison,Bell Biv DeVoe,r&b,new jack swing,en,3,r&b,4
00cqd6ZsSkLZqGMlQCR0Zo,Baby It's Cold Outside (feat. Christina Aguilera),CeeLo Green,r&b,neo soul,en,3,r&b,2
00emjlCv9azBN0fzuuyLqy,Dumb Litty,KARD,pop,dance pop,en,2,pop,5
00f9VGHfQhAHMCQ2bSjg3D,Soldier,James TW,r&b,urban contemporary,en,3,r&b,1
00FROhC5g4iJdax5US8jRr,Satisfy You,Diddy,r&b,new jack swing,en,3,r&b,4
00GfGwzlSB8DoA0cDP2Eit,Tender Lover,Babyface,r&b,new jack swing,en,3,r&b,5
00Gu3RMpDW2vO9PjlMVFDL,Hide Away (feat. Envy Monroe),Blasterjaxx,edm,big room,en,0,edm,1
00GxbkrW4m1Tac5xySEJ4M,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,r&b,hip pop,it,3,r&b,5
00hdjyXt6MohKnCyDmhxOL,Una Vaina Loca,Fuego,latin,latin pop,es,1,latin,5
00HIh9mVUQQAycsQiciWsh,Limestone,Magic City Hippies,pop,indie poptimism,en,2,pop,5
00i0O74dXdaKKdCrqHnfXm,La Mordidita,Ricky Martin,latin,latin pop,es,1,latin,5
00i2HU7TEzzftShjRrDSEF,Changes,2Pac,rap,gangster rap,en,4,rap,5
00Ia46AgCNfnXjzgH8PIKH,Latina (feat. Maluma),Reykon,latin,latin pop,es,1,latin,4
00ITtxUozN0vifE2uYvtqn,Let Me Entertain You - Remastered 2011,Queen,rock,album rock,en,5,rock,1
00LfFm08VWeZwB0Zlm24AT,Suga Suga,Baby Bash,r&b,hip pop,en,3,r&b,4
00lNx0OcTJrS3MKHcB80HY,You Don't Know Me - Radio Edit,Jax Jones,pop,post-teen pop,en,2,pop,4
00NAQYOP4AmWR549nnYJZu,Secrets,The Weeknd,r&b,urban contemporary,en,3,r&b,5
00nvL9u5K8jEJ6TSxGdtPK,Me Enamoré,Jay Wheeler,latin,latin pop,es,1,latin,2
00OKDIsSQbx8rd5Al7fKNw,"Stand Out - From ""How to Build a Better Boy""",Sabrina Carpenter,pop,post-teen pop,en,2,pop,5
00p85inzGeXRXgqDVn7Ftq,Laps,Zotiyac,rap,gangster rap,en,4,rap,0
00PLtXXER1XcTRZvs3LioS,Get The Funk Out Ma Face,The Brothers Johnson,r&b,urban contemporary,en,3,r&b,4
00ppj2gGs8oxhGnTdejkzD,Ooh,SAYMYNAME,rap,trap,en,4,rap,1
00PXizG9xlUNINeqADlh96,La Vida Es Una (feat. Pitbull),Lil Jon,latin,latin hip hop,es,1,latin,5
00qOE7OjRl0BpYiCiweZB2,Juke Box Hero,Foreigner,pop,post-teen pop,en,2,pop,1
00QyLmjxaSEE8qIZQjBXBj,We Own It (Fast & Furious),2 Chainz,rap,gangster rap,en,4,rap,0
00ReeHCY0FQUyuAUyPJdnk,Ain't No Future In Yo' Frontin',MC Breed,rap,southern hip hop,en,4,rap,4
00Ro1lnV3V6i87aY4t8Q43,La rebelion,Joe Arroyo,latin,tropical,es,1,latin,5
00S35gEf40z03JTJgvQMqi,It's You - Radio Edit,Syn Cole,pop,electropop,en,2,pop,5
00SmB7n85SKROGjybsyq5i,Bongo Bong,Manu Chao,latin,tropical,en,1,latin,4
00UpV14MDfk4CvrMbFvqji,It Won't Stop (feat. Chris Brown) - Julian Calor Remix,Sevyn Streeter,edm,progressive electro house,en,0,edm,1
00vHOSgvVfyLzhlTZIJo1m,Full Moon,DREAMCATCHER,edm,pop edm,et,0,edm,1
00WIXhVVhswHuS6dlkScuw,Hot,Confetti,pop,electropop,en,2,pop,1
00X2yv2vrtritPt2CZnUTZ,Bené,PNL,r&b,urban contemporary,fr,3,r&b,4
00YeYHw6zhoy1y7EPTgIkj,Shine - Kygo Remix,Benjamin Francis Leftwich,pop,indie poptimism,en,2,pop,2
00Z0GIRi0l7WqQnQJCo5S2,Don't Let It Break Your Heart - Single Edit,Louis Tomlinson,pop,post-teen pop,en,2,pop,1
011gUcrvLDn2gEApOdOhVe,Been A While,Sam Feldt,pop,indie poptimism,en,2,pop,4
012mGdSYIBEmERuScm2iOl,Santa Claus Is Coming To Town,The Jackson 5,r&b,neo soul,en,3,r&b,5
014J7jX1wSv0manSdRnveo,Dancing On My Own - Tiësto Remix,Calum Scott,edm,pop edm,en,0,edm,5
014V6u9VubefjaPPl1QkTJ,Phenomenal,Eminem,rap,gangster rap,en,4,rap,1
01auWCuHXubb8KPZ0IXF4S,Get Get Down - Radio Edit,Merk & Kremont,edm,progressive electro house,pl,0,edm,1
01Bw3xiZ5PQfn0btMWICaQ,Beautiful Life,Lost Frequencies,latin,tropical,en,1,latin,4
01bWQ4TPGmsP6FS64nF4R9,Suave,Tabitha,latin,latin hip hop,nl,1,latin,4
01BXNQilWpOZxGLU9c12Iy,Pegao,Wisin & Yandel,latin,reggaeton,es,1,latin,4
01DSvNTUsVROjnSF5j3UbD,Try,P!nk,latin,latin hip hop,en,1,latin,5
01FBBpA6WBl3arX7pxTFwO,Not To Much - Remastered 2016,Don Omar,latin,reggaeton,es,1,latin,5
01IQ4aQgOf0Kkq3a273hmO,Funky Friday,Dave,rap,hip hop,en,4,rap,4
01iyINEYgPQ7ThMZuHUsqS,First Love,Lost Kings,pop,dance pop,en,2,pop,4
01kmEgrTZAGvJNicVB7laT,Alone,Lund,rap,trap,en,4,rap,2
01LODLnhlfNphZ366BqKc0,Now That We're Dead,Metallica,rock,hard rock,en,5,rock,3
01Lr5YepbgjXAWR9iOEyH1,Love Sosa,Chief Keef,rap,gangster rap,en,4,rap,4
01M4Wng6jF5uoNEHLl2OIn,Mama Knew Love,Anthony Hamilton,r&b,neo soul,en,3,r&b,4
01nV5tQ4pCpKIIJ3AVxKdv,Generé,Bipo Montana,rap,hip hop,es,4,rap,0
01q4ccXbvPlCwZ1fPiFaeM,Girlfriend in a Coma - 2011 Remaster,The Smiths,rock,permanent wave,en,5,rock,5
01Qb6dN5suQNu87VJ1mIpf,Did It Again,Lil Tecca,rap,trap,en,4,rap,0
01QhVHvkGqzO861Kl3GhfX,I'll Be All You'll Ever Need,Trinere,latin,latin hip hop,en,1,latin,5
01R0Xdwje645C6xFCnMRvm,Talk Dirty To Me,Poison,rock,classic rock,en,5,rock,1
01TzbTwZ9Mce9mOeBpH03i,Goodbye Love,Guy,r&b,new jack swing,en,3,r&b,2
01vv2AjxgP4uUyb8waYO5Y,Morph,Twenty One Pilots,pop,electropop,en,2,pop,5
01wavOnjFBNgdMWBFYIAP4,50 Vezes - Ao Vivo,Sorriso Maroto,edm,pop edm,pt,0,edm,1
01XFgRZfZI7oBagNf1Loml,Harlem Shake,Baauer,rap,trap,en,4,rap,1
020mPSviVz90DTlyfxofDJ,Always Gonna Say Sorry,Joakim Molitor,edm,pop edm,en,0,edm,5
020wG4EHTwBy5h2rbpxqvK,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,rap,trap,it,4,rap,5
02138lFv3Bzncr6ScNbLAF,Rattle Your Cage,Skrizzly Adams,rock,classic rock,en,5,rock,1
