tsne_1,tsne_2,genre,cluster
23.580133,15.792658,rock,5
-57.037148,57.865685,rock,3
57.72174,-12.013507,r&b,4
31.191124,44.494335,r&b,2
-74.4291,-42.438442,pop,5
-6.7535977,35.553165,r&b,1
34.49968,17.826685,r&b,4
-16.687801,-62.049217,r&b,5
-58.76408,35.331944,edm,1
-8.399119,-15.975295,r&b,5
24.69735,-85.14424,latin,5
20.053438,-6.3838797,pop,5
23.434566,-71.937996,latin,5
-7.7509933,-64.039764,rap,5
37.70565,-71.44791,latin,4
-22.526947,34.80953,rock,1
73.701256,-23.457262,r&b,4
35.312725,-10.230343,pop,4
-35.051147,-32.915806,r&b,5
12.927453,66.845856,latin,2
-59.976486,-46.726517,pop,5
81.625244,20.237894,rap,0
34.297894,1.3740928,r&b,4
-74.78965,0.87753755,rap,1
27.456455,-70.03096,latin,5
-42.961567,61.460884,pop,1
74.724,25.564718,rap,0
61.327614,-13.178928,rap,4
17.801838,-82.42714,latin,5
-56.95616,-11.347865,pop,5
96.965195,-3.7482636,latin,4
-67.659454,10.061642,edm,1
-46.573433,11.934505,edm,1
-34.757042,-10.918106,pop,1
52.78754,-62.199036,r&b,4
18.345396,30.821901,pop,2
-54.335712,33.152603,pop,1
27.899443,-0.44032735,pop,4
11.915878,-34.285908,r&b,5
-46.898895,-23.725414,edm,5
-67.753494,7.8124423,rap,1
-37.379173,33.616634,edm,1
24.886972,6.171359,latin,4
15.866554,-42.622738,latin,4
42.255802,-58.18064,latin,4
-23.238531,-52.15913,latin,5
20.159529,-72.46519,latin,5
54.320553,-40.72165,rap,4
57.535694,-21.288446,pop,4
17.143553,81.53876,rap,2
-75.59294,34.333763,rock,3
55.647495,14.341592,rap,4
64.29458,-19.14151,r&b,4
93.02878,-12.036121,rap,0
14.78008,-32.872677,rock,5
59.30263,15.230662,rap,0
-15.239021,-53.41068,latin,5
-21.446888,12.033876,rock,1
28.837244,19.012375,r&b,2
-7.1506586,-32.211643,pop,5
-20.00928,37.12997,edm,1
-59.820583,23.072975,rap,1
-46.84158,-28.308584,edm,5
-8.44826,-16.025812,rap,5
-13.408436,52.89394,rock,1
-25.021034,-59.76854,latin,5
-24.853487,-35.577835,rock,5
-57.469765,-4.1479006,pop,5
27.306377,13.255788,rap,2
50.595306,14.969291,r&b,4
84.14133,20.396778,rap,0
-2.0344298,38.27416,rock,5
40.859543,-1.8569484,rap,4
-70.49302,14.288588,pop,3
91.0015,-2.9080431,pop,0
-44.816517,-14.122898,edm,5
2.8319485,50.92516,rock,2
44.12279,51.92657,rock,2
-20.083574,-63.874214,rock,5
37.673775,64.74205,r&b,2
-16.320108,-29.217941,rap,5
40.17858,75.26316,rap,2
-16.025606,-38.39322,pop,5
12.29759,-15.206036,edm,4
44.240795,68.66204,r&b,2
70.48406,14.765139,pop,0
29.684612,-61.403923,latin,4
35.915134,-81.01192,latin,5
32.843357,1.6491731,rock,4
37.011127,-36.560364,pop,4
-79.3904,-27.893703,rock,5
-70.29088,70.500374,edm,3
71.83817,7.486722,pop,0
-23.220932,-43.56571,edm,5
-62.78928,63.54044,edm,3
34.74246,33.097794,pop,2
13.642449,-47.88587,edm,4
17.409782,35.055634,r&b,2
36.54345,66.488235,pop,2
-19.509024,-47.096226,edm,5
2.0733366,24.089344,r&b,2
-4.951836,60.05601,rock,3
4.081103,-46.542,pop,5
-28.614937,21.519358,rock,1
10.075398,8.119786,rap,5
