z1,z2,z3,z4,z5,z6,z7,z8,weak_label,artist_name,title,release
-0.73394036,1.289972,3.2933652,0.690999,0.80940187,2.0539925,-0.883477,0.15662305,Casual,Casual,I Didn't Mean To,Fear Itself
0.3439926,-0.5448042,-0.3223361,-1.0311244,0.55894125,-0.45916447,0.6115656,0.11600141,The Box Tops,The Box Tops,Soul Deep,Dimensions
0.18362814,1.165325,1.0790429,0.5904075,-0.4136278,0.42371482,-0.4334435,-0.9442907,Sonora Santanera,Sonora Santanera,Amor De Cabaret,Las Numero 1 De La Sonora Santanera
0.49747777,-0.3382036,-0.56441027,-0.5999454,-0.22705422,-0.8083237,0.47249514,-0.40597755,Adam Ant,Adam Ant,Something Girls,Friend Or Foe
-0.69848484,-0.9066422,-2.2522435,-0.87132055,0.9988647,-1.8068594,1.1274948,0.8517592,Gob,Gob,Face the Ashes,Muertos Vivos
0.6216822,0.15889457,-0.31228313,0.19538432,-0.82892436,-0.8036481,0.056039613,-1.032248,Jeff And Sheri Easter,Jeff And Sheri Easter,The Moon And I (Ordinary Day Album Version),Ordinary Day
0.6233266,3.2627494,5.526352,1.7091357,-0.27070665,3.3985693,-1.7630087,-1.9401283,Rated R,Rated R,Keepin It Real (Skit),Da Ghetto Psychic
1.4969333,0.786593,1.9439094,0.1278249,-0.955567,0.24008356,-0.08544956,-1.3517108,Tweeterfriendly Music,Tweeterfriendly Music,Drop of Rain,Gin & Phonic
-1.0793256,-0.6540878,-1.4032226,-0.5013201,1.0397706,-0.71123844,0.8318712,0.8300546,Planet P Project,Planet P Project,Pink World,Pink World
-1.9954116,1.7101749,3.354331,0.92379946,1.4844635,2.201647,-1.3569332,0.442264,Clp,Clp,Insatiable (Instrumental Version),Superinstrumental
-0.4751172,-0.093743585,-1.174834,-0.28538707,0.3885548,-0.96572655,0.5579402,0.24451204,JennyAnyKind,JennyAnyKind,Young Boy Blues,I Need You
0.57383674,-0.0036183856,0.69149107,-0.4232077,-0.27532443,-0.26322833,-0.095911756,-0.46940374,Wayne Watson,Wayne Watson,The Urgency (LP Version),The Way Home
0.2122563,0.29978973,2.325948,-0.20350856,0.7540365,1.2677004,-0.26139703,0.05259422,Andy Andy,Andy Andy,La Culpa,Placer & Castigo
-0.7904451,0.63560694,0.8302343,0.425322,0.3235449,0.5070071,-0.528725,0.31490284,Bob Azzam,Bob Azzam,Auguri Cha Cha,Arrivederci
-1.2606299,-0.2734401,-1.3706524,0.047065638,0.8983806,-0.7370007,0.5002791,0.85126215,Lionel Richie,Lionel Richie,Tonight Will Be Alright,Dancing On The Ceiling
1.3650069,-0.12828657,0.9941397,-0.58851546,-0.5283507,-0.2254722,-0.026504759,-0.6047497,Blue Rodeo,Blue Rodeo,Floating,Outskirts
-0.4661362,0.52406204,1.0285825,-0.09456968,0.13209324,0.3140065,-0.31294498,0.04142708,Richard Souther,Richard Souther,High Tide,Cross Currents
-1.8038285,-0.17994514,0.09794453,-0.08964715,1.2071098,0.195662,0.089079514,1.1923872,Faiz Ali Faiz,Faiz Ali Faiz,Sohna Nee Sohna Data,Panjtan Ka Ghulam
0.9165614,-0.51655453,-0.739416,-0.824211,-0.22617505,-1.2250941,0.75636536,-0.5512084,Tesla,Tesla,Caught In A Dream,Gold
1.6175618,-0.9987836,-1.5264043,-1.46859,-0.5397911,-2.1896105,0.9383689,-0.63068575,lextrical,lextrical,Synthetic Dream,Whatever Happened To Boredom?
0.12150054,2.4872358,3.9323163,1.402174,-0.25287357,2.8368475,-1.6349221,-1.0445932,Jimmy Wakely,Jimmy Wakely,Broken-Down Merry-Go-Round,1942-1952 Jimmy Wakely
-0.99289227,0.10438645,0.367732,0.091797374,0.98285276,0.4800917,0.10343306,0.38638812,Alice Stuart,Alice Stuart,Kassie Jones,All The Good Times
2.0641294,0.23558399,2.157274,-0.61767733,-0.88163483,0.09705795,-0.106468976,-1.1508341,Elena,Elena,Setanta matins,Un cafe_ setanta matins
-1.7356627,-1.0953575,-2.0577722,-0.697288,1.6194149,-1.1495259,0.96940994,1.4205961,The Dillinger Escape Plan,The Dillinger Escape Plan,Setting Fire to Sleeping Giants,Miss Machine
