filepath,song_id,track_id,artist_name,title,release,text_blob,weak_label,audio_vec
C:\Users\mshakur\Downloads\Modelling\deep_learning\millionsongsubset\A\A\A\TRAAAAW128F429D538.h5,SOMZWCG12A8C13C480,,Casual,I Didn't Mean To,Fear Itself,Casual I Didn't Mean To Fear Itself,Casual,"[218.9318      92.198      -11.197        1.           0.
   4.          41.51278     15.662936    -5.789682    -0.7898445
 -43.2349      15.170947    15.139038     1.5050011    6.5895705
  12.298555   -13.56328      5.44248      4.9445424   61.519974
  58.72095     54.479958    32.529316    37.568157    27.000534
  35.915733    27.005457    24.123892    24.510618    17.726603
   0.47118124   0.6259135    0.3579454    0.28473943   0.3679413
   0.30688465   0.35035014   0.29866633   0.34461173   0.3439372
   0.30667973   0.32417405   0.29779848   0.34140074   0.29943505
   0.26673287   0.3225508    0.2618185    0.3325871    0.30229157
   0.35670722   0.3599288    0.28883126   0.3384435 ]"
C:\Users\mshakur\Downloads\Modelling\deep_learning\millionsongsubset\A\A\A\TRAAABD128F429CF47.h5,SOCIWDW12A8C13D406,,The Box Tops,Soul Deep,Dimensions,The Box Tops Soul Deep Dimensions,The Box Tops,"[148.03546    121.274       -9.843        6.           0.
   4.          43.071037    -4.035391    23.572292    12.923576
  -2.5450363    5.0523944    9.238151    -4.3459744    5.2241035
   2.9356637   -2.752638     1.7293963    5.8474545   33.20336
  28.860207    39.90195     25.291306    29.12233     20.090048
  19.608093    17.553755    16.797338    16.093344    12.089105
   0.20774727   0.4084091    0.30999637   0.17321818   0.443
   0.20671636   0.29773638   0.1562909    0.27793092   0.5642909
   0.21837273   0.29139453   0.18633659   0.31631833   0.31934866
   0.16553202   0.30762467   0.19891296   0.3069136    0.15619683
   0.20908101   0.3836248    0.1627929    0.30606285]"
C:\Users\mshakur\Downloads\Modelling\deep_learning\millionsongsubset\A\A\A\TRAAADZ128F9348C2E.h5,SOXVLOJ12AB0189215,,Sonora Santanera,Amor De Cabaret,Las Numero 1 De La Sonora Santanera,Sonora Santanera Amor De Cabaret Las Numero 1 De La Sonora Santanera,Sonora Santanera,"[ 1.7747546e+02  1.0007000e+02 -9.6890001e+00  8.0000000e+00
  1.0000000e+00  1.0000000e+00  4.5130814e+01 -7.6823326e+01
  5.0787331e+01  1.3509893e+01 -6.5492582e+00 -5.5142422e+00
  1.8851780e+00 -8.9637299e+00  3.7598629e+00 -5.1179538e+00
  8.4420691e+00  4.4771709e+00  4.2319436e+00  5.0005634e+01
  4.7880043e+01  4.7090176e+01  3.2402233e+01  2.6580956e+01
  2.8944851e+01  2.4050854e+01  2.1466421e+01  1.8026127e+01
  1.8973604e+01  2.0078953e+01  4.0731317e-01  2.9959431e-01
  2.5642884e-01  4.2721173e-01  2.6203203e-01  2.4045373e-01
  1.6948932e-01  2.9735944e-01  2.7398753e-01  4.3011209e-01
  4.5360675e-01  1.9739147e-01  3.4491846e-01  2.7167636e-01
  2.6022872e-01  3.6490545e-01  2.3547186e-01  2.5014395e-01
  1.8202044e-01  3.0562285e-01  2.7012941e-01  3.2468739e-01
  3.4791318e-01  1.9245978e-01]"
C:\Users\mshakur\Downloads\Modelling\deep_learning\millionsongsubset\A\A\A\TRAAAEF128F4273421.h5,SONHOTT12A8C13493C,,Adam Ant,Something Girls,Friend Or Foe,Adam Ant Something Girls Friend Or Foe,Adam Ant,"[ 2.33403625e+02  1.19292999e+02 -9.01299953e+00  0.00000000e+00
  1.00000000e+00  4.00000000e+00  4.58002548e+01  4.11489868e+01
  5.75992966e+01  5.69531441e+00  9.79892790e-01 -7.36007547e+00
 -1.09171915e+01 -4.62271631e-01 -2.99410462e-01 -2.34037757e+00
  2.61616319e-01 -2.42759800e+00  6.50847483e+00  4.24113197e+01
  3.37811966e+01  3.15650864e+01  2.90851765e+01  2.20288124e+01
  2.20990696e+01  1.74888668e+01  2.56780338e+01  1.51230021e+01
  1.24894886e+01  1.86340752e+01  4.97092575e-01  3.15599263e-01
  3.96124244e-01  2.92460412e-01  3.99649203e-01  4.19143736e-01
  3.23315471e-01  4.22412902e-01  2.82447010e-01  3.97299647e-01
  2.53176600e-01  4.13878202e-01  3.21648210e-01  2.14218825e-01
  3.16485465e-01  2.26000413e-01  2.68708944e-01  3.38034123e-01
  2.35317558e-01  3.14462811e-01  2.03633413e-01  2.91466177e-01
  1.92240074e-01  2.77432144e-01]"
C:\Users\mshakur\Downloads\Modelling\deep_learning\millionsongsubset\A\A\A\TRAAAFD128F92F423A.h5,SOFSOCN12A8C143F5D,,Gob,Face the Ashes,Muertos Vivos,Gob Face the Ashes Muertos Vivos,Gob,"[ 2.0960608e+02  1.2973801e+02 -4.5009999e+00  2.0000000e+00
  1.0000000e+00  4.0000000e+00  5.0251553e+01  2.7845585e+01
  4.7091305e+01  1.1080035e+01 -4.3505352e+01 -1.7997253e+01
 -5.2841501e+00 -1.1754643e+01  1.0512852e+01  2.1924577e+00
  5.4484262e+00  1.7045156e+00  4.2278452e+00  2.2555185e+01
  3.9169868e+01  3.0454119e+01  2.8251268e+01  2.3275417e+01
  2.0070395e+01  1.5137501e+01  1.3721608e+01  1.3082025e+01
  1.4556300e+01  1.0923347e+01  4.0917385e-01  3.9386925e-01
  3.6854383e-01  2.6005945e-01  3.9692274e-01  4.2393908e-01
  3.8254830e-01  4.8111591e-01  4.5432243e-01  6.2690043e-01
  3.3830014e-01  2.7885884e-01  3.0031773e-01  2.6712847e-01
  2.7253464e-01  1.8205635e-01  2.3563039e-01  3.1639543e-01
  2.7884698e-01  3.3817708e-01  2.5220636e-01  3.2328957e-01
  2.3441434e-01  1.7380491e-01]"
C:\Users\mshakur\Downloads\Modelling\deep_learning\millionsongsubset\A\A\A\TRAAAMO128F1481E7F.h5,SOYMRWW12A6D4FAB14,,Jeff And Sheri Easter,The Moon And I (Ordinary Day Album Version),Ordinary Day,Jeff And Sheri Easter The Moon And I (Ordinary Day Album Version) Ordinary Day,Jeff And Sheri Easter,"[ 2.67702393e+02  1.47781998e+02 -9.32299995e+00  5.00000000e+00
  1.00000000e+00  3.00000000e+00  4.33988457e+01 -9.01992893e+00
  7.33245850e+00 -1.30025473e+01 -5.64284897e+00 -1.15459595e+01
 -1.50836792e+01 -9.38203335e+00 -2.19779873e+00 -4.38270426e+00
  2.24223232e+00  9.43975544e+00  6.12045240e+00  3.55976677e+01
  4.52632141e+01  3.35207138e+01  2.81292839e+01  2.17987289e+01
  2.37002144e+01  2.09632111e+01  1.79215527e+01  1.47814360e+01
  1.45067129e+01  1.86220474e+01  6.02209568e-01  2.71372467e-01
  2.37306580e-01  1.18251495e-01  1.80639520e-01  5.18637121e-01
  1.63468257e-01  2.55986840e-01  1.83779642e-01  3.24695796e-01
  2.84265876e-01  2.03132927e-01  3.46188277e-01  2.26920888e-01
  2.69087762e-01  1.67107448e-01  1.81910455e-01  3.79863143e-01
  1.55709535e-01  2.47972369e-01  1.90011799e-01  2.98928052e-01
  3.21921647e-01  2.15178385e-01]"
C:\Users\mshakur\Downloads\Modelling\deep_learning\millionsongsubset\A\A\A\TRAAAMQ128F1460CD3.h5,SOMJBYD12A6D4F8557,,Rated R,Keepin It Real (Skit),Da Ghetto Psychic,Rated R Keepin It Real (Skit) Da Ghetto Psychic,Rated R,"[114.78159    111.787      -17.302        1.           1.
   1.          30.791466     6.381634    14.740644   -12.607875
  31.266062    28.765884   -34.712376     7.4440913  -17.967745
   7.3052244  -11.1997175   12.227632     8.169005    59.095654
  48.383812    60.245564    38.696114    41.81673     30.55207
  36.84399     37.124535    26.648811    27.991156    19.24318
   0.42166945   0.3460603    0.34269646   0.34623286   0.31121206
   0.3165364    0.36176923   0.34552807   0.40733057   0.4026507
   0.3981164    0.3483576    0.3250547    0.28964964   0.29428068
   0.2950524    0.27780446   0.28460184   0.30943814   0.28732738
   0.3234178    0.31592378   0.31500074   0.28942096]"
C:\Users\mshakur\Downloads\Modelling\deep_learning\millionsongsubset\A\A\A\TRAAAPK128E0786D96.h5,SOHKNRJ12A6701D1F8,,Tweeterfriendly Music,Drop of Rain,Gin & Phonic,Tweeterfriendly Music Drop of Rain Gin & Phonic,Tweeterfriendly Music,"[ 1.8957016e+02  1.0143000e+02 -1.1642000e+01  4.0000000e+00
  0.0000000e+00  3.0000000e+00  4.1129639e+01 -5.9711246e+01
 -3.8285450e+01 -2.8734478e+01  6.7738862e+00 -1.5174296e+01
  9.5681190e+00 -2.4112246e+00  5.5830460e+00 -8.0374250e+00
 -6.7274184e+00 -3.5449200e+00  5.6113491e+00  5.9804760e+01
  3.9704464e+01  3.6965317e+01  2.8765163e+01  2.5952959e+01
  2.4308134e+01  2.8739151e+01  2.1536741e+01  2.0951860e+01
  1.6708124e+01  1.7185507e+01  4.2772961e-01  2.5971597e-01
  2.2717518e-01  1.3145238e-01  2.1390477e-01  1.0431293e-01
  1.8479592e-01  2.5392348e-01  1.5931463e-01  2.7617177e-01
  2.1263945e-01  4.0794727e-01  3.8878116e-01  2.9693428e-01
  3.0033469e-01  1.8692125e-01  2.9606169e-01  1.6113445e-01
  2.1176511e-01  3.3448702e-01  2.1330252e-01  3.4984240e-01
  2.5021467e-01  3.7177107e-01]"
C:\Users\mshakur\Downloads\Modelling\deep_learning\millionsongsubset\A\A\A\TRAAARJ128F9320760.h5,SOIAZJW12AB01853F1,,Planet P Project,Pink World,Pink World,Planet P Project Pink World Pink World,Planet P Project,"[ 2.6981833e+02  8.6642998e+01 -1.3496000e+01  4.0000000e+00
  1.0000000e+00  4.0000000e+00  4.0643543e+01  6.2819080e+00
  3.4655209e+01 -1.2969375e+00 -3.2762730e+01 -1.4612496e+01
  7.7064924e+00 -8.3534098e+00  1.0384000e+01 -1.9548136e+00
 -4.0923026e-01 -4.8501997e+00  6.3267865e+00  4.2153049e+01
  3.3129662e+01  2.5100948e+01  2.6514380e+01  2.0503946e+01
  1.7656137e+01  1.9530426e+01  1.5496682e+01  1.5354937e+01
  1.3322018e+01  1.4186154e+01  4.0832347e-01  4.0485525e-01
  2.8125000e-01  3.5833991e-01  5.9222585e-01  2.6285088e-01
  3.6007565e-01  3.0080372e-01  4.6217105e-01  5.5150765e-01
  3.8328728e-01  5.0259650e-01  2.6699054e-01  2.4948165e-01
  1.9993433e-01  2.3968643e-01  3.2081130e-01  1.8608053e-01
  2.6732811e-01  2.4769118e-01  3.1788734e-01  3.7916464e-01
  2.5308439e-01  3.3309031e-01]"
C:\Users\mshakur\Downloads\Modelling\deep_learning\millionsongsubset\A\A\A\TRAAAVG12903CFA543.h5,SOUDSGM12AC9618304,,Clp,Insatiable (Instrumental Version),Superinstrumental,Clp Insatiable (Instrumental Version) Superinstrumental,Clp,"[ 2.6639627e+02  1.1404100e+02 -6.6970000e+00  7.0000000e+00
  0.0000000e+00  4.0000000e+00  4.2028069e+01  2.1465521e+01
 -1.0381865e+01  6.0422222e+01 -1.9069118e+00 -1.5450349e+01
  1.1928953e+01  1.3374326e+01  3.6821728e+00  1.2140663e+01
  5.9721494e+00 -6.3691692e+00  6.3465662e+00  6.4172623e+01
  6.4820084e+01  6.7028923e+01  4.2241211e+01  4.6835030e+01
  2.4611740e+01  2.6357042e+01  1.6382727e+01  2.1341110e+01
  2.7874079e+01  1.7370766e+01  5.4620343e-01  5.3343672e-01
  2.8431436e-01  2.4801992e-01  3.3973187e-01  3.2378948e-01
  2.9827312e-01  2.9570413e-01  4.2226812e-01  5.0844663e-01
  4.5172048e-01  2.9088834e-01  3.3986494e-01  3.6728072e-01
  2.2799183e-01  2.1260785e-01  2.6409796e-01  2.3550482e-01
  1.9924742e-01  2.0944768e-01  3.5841796e-01  4.0970805e-01
  3.6055666e-01  2.5248927e-01]"
